restaurant_name,top_problems,top_positive_features
99 Grill,"Cooking Quality (31.5%), Food Temperature (30.3%), Taste & Flavor (16.9%), Missing / Wrong Items (10.1%), Cleanliness (7.9%)","Taste & Flavor (58.6%), Service (28.8%), Cleanliness (8.1%), Delivery Speed (1.8%), Cooking Quality (0.9%)"
Between Buns,"Taste & Flavor (80.0%), Missing / Wrong Items (20.0%)","Food Temperature (66.7%), Taste & Flavor (33.3%)"
Buffalo Wings Rings,"Taste & Flavor (40.0%), Cleanliness (20.0%), Cooking Quality (16.0%), Missing / Wrong Items (8.0%), Portion Size (4.0%)","Service (50.0%), Taste & Flavor (38.9%), Delivery Speed (5.6%), Packaging (5.6%)"
Burger Maker,"Food Temperature (39.3%), Cooking Quality (22.9%), Taste & Flavor (22.1%), Missing / Wrong Items (5.7%), Cleanliness (3.6%)","Service (44.3%), Taste & Flavor (32.9%), Food Temperature (5.7%), Cooking Quality (4.3%), Cleanliness (4.3%)"
Chicken Kingdom,"Cooking Quality (41.3%), Taste & Flavor (26.7%), Food Temperature (14.2%), Cleanliness (10.7%), Missing / Wrong Items (2.7%)","Taste & Flavor (48.4%), Cleanliness (22.4%), Service (20.9%), Delivery Speed (2.2%), Packaging (2.0%)"
Crispy Chicken,"Cooking Quality (28.6%), Food Temperature (26.5%), Taste & Flavor (18.4%), Cleanliness (10.2%), Missing / Wrong Items (8.2%)","Taste & Flavor (57.7%), Service (26.9%), Cooking Quality (3.8%), Packaging (3.8%), Delivery Speed (3.8%)"
Dominos Pizza,"Missing / Wrong Items (37.5%), Cleanliness (25.0%), Delivery Speed (25.0%), Cooking Quality (12.5%)","Taste & Flavor (50.0%), Service (50.0%)"
Ibra Sandwich,"Taste & Flavor (57.1%), Cooking Quality (28.6%), Missing / Wrong Items (14.3%)","Taste & Flavor (30.0%), Packaging (20.0%), Cleanliness (20.0%), Food Temperature (10.0%), Portion Size (10.0%)"
Mr Hotdog,Food Temperature (100.0%),"Service (40.0%), Taste & Flavor (40.0%), Cleanliness (20.0%)"
Ninja Sushi,,"Taste & Flavor (71.4%), Delivery Speed (14.3%), Service (14.3%)"
Pizza Hut,"Cleanliness (33.3%), Taste & Flavor (22.2%), Missing / Wrong Items (22.2%), Cooking Quality (11.1%), Food Temperature (11.1%)","Service (54.8%), Taste & Flavor (42.9%), Food Temperature (2.4%)"
Shawarmaati,"Food Temperature (50.0%), Taste & Flavor (33.3%), Missing / Wrong Items (16.7%)","Taste & Flavor (57.1%), Service (35.7%), Packaging (7.1%)"
Shawerma Reem,"Taste & Flavor (25.0%), Cooking Quality (23.5%), Food Temperature (20.6%), Missing / Wrong Items (10.3%), Portion Size (8.8%)","Service (45.0%), Taste & Flavor (33.3%), Cleanliness (13.3%), Delivery Speed (3.3%), Packaging (3.3%)"
Wazzup Dog,"Food Temperature (71.4%), Price / Value (14.3%), Cooking Quality (14.3%)","Service (52.0%), Taste & Flavor (20.0%), Cleanliness (12.0%), Food Temperature (8.0%), Cooking Quality (4.0%)"
Xn Shawerma,"Cooking Quality (33.3%), Food Temperature (26.7%), Missing / Wrong Items (20.0%), Price / Value (6.7%), Taste & Flavor (6.7%)","Taste & Flavor (40.0%), Cleanliness (30.0%), Service (20.0%), Food Temperature (10.0%)"
